fixture_id,date,match_time,region_league,league_id,home_team,away_team,home_team_id,away_team_id,home_score,away_score,match_status,match_link,league_stage,last_updated
Sf4KM0Cm,,23:00,BRAZIL - Paulista A3,Unknown,Itapirense,Rio Claro,UcbefG6J,AkPEBy3K,-,-,finished,https://www.flashscore.com/match/football/itapirense-UcbefG6J/rio-claro-AkPEBy3K/?mid=Sf4KM0Cm,Unknown,2026-02-26T13:19:47.037417+00:00
25uXqdJt,,19:00,BRAZIL - Copa do Brasil U17,Unknown,Botafogo RJ U17,Goias U17,0fEt8HcD,b566Udhs,-,-,finished,https://www.flashscore.com/match/football/botafogo-rj-0fEt8HcD/goias-b566Udhs/?mid=25uXqdJt,Unknown,2026-02-26T13:19:47.037417+00:00
WQ0tKfQE,,19:00,BRAZIL - Brasileiro U20,Unknown,Bahia U20,Corinthians U20,U7zIAwsm,vZKd15Gk,-,-,finished,https://www.flashscore.com/match/football/bahia-U7zIAwsm/corinthians-vZKd15Gk/?mid=WQ0tKfQE,Unknown,2026-02-26T13:19:47.037417+00:00
ENYC12BO,,15:00,CAMEROON - Elite One,Unknown,Canon Yaounde,Cotonsport,48ckmHOC,IB1gnyvJ,-,-,finished,https://www.flashscore.com/match/football/canon-yaounde-48ckmHOC/cotonsport-IB1gnyvJ/?mid=ENYC12BO,Unknown,2026-02-26T13:19:47.037417+00:00
OzdGyvFd,,18:00,CAMEROON - Super Cup,Unknown,Colombe,Panthere,27xPRZxk,MPLYHPAs,-,-,finished,https://www.flashscore.com/match/football/colombe-27xPRZxk/panthere-MPLYHPAs/?mid=OzdGyvFd,Unknown,2026-02-26T13:19:47.037417+00:00
hbgzLkRb,,15:30,CHAD - Premiere Division - LPFN,Unknown,Fehra,Stars J. Talents,CW5xMidc,GYcKRU1F,-,-,finished,https://www.flashscore.com/match/football/fehra-CW5xMidc/stars-j-talents-GYcKRU1F/?mid=hbgzLkRb,Unknown,2026-02-26T13:19:47.037417+00:00
p6BsJTeB,,15:30,CHAD - Premiere Division - LPFN,Unknown,Gazelle,Foullah Edifice,6BtZsN13,joX7cky0,-,-,finished,https://www.flashscore.com/match/football/foullah-edifice-6BtZsN13/gazelle-joX7cky0/?mid=p6BsJTeB,Unknown,2026-02-26T13:19:47.037417+00:00
dWaRMBdn,,15:30,CHAD - Premiere Division - LPFN,Unknown,Tourbillon,Emat,vwMX58dg,vyVAI1p5,-,-,finished,https://www.flashscore.com/match/football/emat-vwMX58dg/tourbillon-vyVAI1p5/?mid=dWaRMBdn,Unknown,2026-02-26T13:19:47.037417+00:00
GUaIIArC,,23:00,COLOMBIA - Primera B - Apertura,Unknown,Boca Juniors,Barranquilla,O8ANu9JR,6yoKBtoR,-,-,finished,https://www.flashscore.com/match/football/barranquilla-O8ANu9JR/boca-juniors-de-cali-6yoKBtoR/?mid=GUaIIArC,Unknown,2026-02-26T13:19:47.037417+00:00
C8sHVw0K,,21:00,COSTA RICA - Liga de Ascenso - Clausura,Unknown,Cofutpa,Quepos Cambute,xdbeAoUn,xpble5Xc,-,-,finished,https://www.flashscore.com/match/football/cofutpa-xdbeAoUn/quepos-cambute-xpble5Xc/?mid=C8sHVw0K,Unknown,2026-02-26T13:19:47.037417+00:00
rDRPfPpp,,12:00,DR CONGO - Ligue 1,Unknown,Saint-Luc,US Panda,bRDQ07GG,6XXWPpSs,-,-,finished,https://www.flashscore.com/match/football/saint-luc-bRDQ07GG/us-panda-6XXWPpSs/?mid=rDRPfPpp,Unknown,2026-02-26T13:19:47.037417+00:00
nDU68h8D,,13:00,DR CONGO - Ligue 1,Unknown,Aigles du Congo,Bukavu Dawa,ll5VeAML,A3NxqwT3,-,-,finished,https://www.flashscore.com/match/football/aigles-du-congo-ll5VeAML/bukavu-dawa-A3NxqwT3/?mid=nDU68h8D,Unknown,2026-02-26T13:19:47.037417+00:00
